Class,Property,Corporate Body Classification,Corporate Body,Country,Currencies,Languages,Membership,Places,Sites
http://publications.europa.eu/ontology/euvoc#XlNotation,http://publications.europa.eu/ontology/euvoc#xlCodification,1.0,1.0,1.0,1.0,0.051807,0.0,1.0,1.0
http://publications.europa.eu/ontology/euvoc#XlNotation,http://purl.org/dc/terms/created,1.0,0.998961,0.425884,0.002146,1.0,0.0,0.237644,1.0
http://publications.europa.eu/ontology/euvoc#XlNotation,http://publications.europa.eu/ontology/euvoc#startDate,0.928571,0.998961,0.425884,0.0,1.0,0.0,0.995307,1.0
http://publications.europa.eu/ontology/euvoc#XlNotation,http://publications.europa.eu/ontology/euvoc#status,1.0,0.998961,0.425884,1.0,0.051807,0.0,1.0,1.0
http://publications.europa.eu/ontology/euvoc#XlNotation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
http://publications.europa.eu/ontology/euvoc#XlNote,http://publications.europa.eu/ontology/euvoc#startDate,1.0,0.893216,0.030303,0.982709,0.849524,1.0,0.997166,0.0
http://publications.europa.eu/ontology/euvoc#XlNote,http://purl.org/dc/terms/modified,0.060606,0.0,0.0,0.020173,0.0,0.857143,0.001214,0.0
http://publications.europa.eu/ontology/euvoc#XlNote,http://purl.org/dc/terms/creator,1.0,0.0,0.0,0.804035,0.0,1.0,0.991769,0.0
http://publications.europa.eu/ontology/euvoc#XlNote,http://purl.org/dc/terms/created,1.0,0.069095,0.969697,1.0,0.038095,1.0,0.999865,1.0
http://publications.europa.eu/ontology/euvoc#XlNote,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://publications.europa.eu/ontology/euvoc#XlNote,http://purl.org/dc/terms/source,0.090909,0.895729,0.030303,0.78098,0.851429,0.571429,0.0,0.0
http://publications.europa.eu/ontology/euvoc#XlNote,http://publications.europa.eu/ontology/euvoc#xlNote,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#xlNotation,0.304348,3.190192,10.85563,1.618056,1.194302,0.0,2.436975,1.784653
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/elements/1.1/identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#narrower,0.956522,0.840292,0.0,0.0,0.0,0.0,0.0,0.0
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/dateAccepted,0.956522,0.994036,0.989437,0.100694,0.946564,0.875,1.0,0.997525
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2002/07/owl#versionInfo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://lemon-model.net/lemon#context,1.043478,3.064944,9.514085,2.253472,0.220592,0.0,2.559524,1.212871
